Id,Numero,DataAjuizamento,IdClasse,IdAssunto,AnoEleicao
405276941,06000150920206070003,2020-03-2300:00:00.,{279},{11778},2018
405276946,06000027120206070015,2020-01-3017:51:17.,{355},{11778},0
405276949,06000025920206070019,2020-02-0616:00:49.,{355},{11778},0
405277043,00000321520166070010,2016-10-1414:31:09.,{261},{11778},0
405277059,00001783620186070091,2018-06-1816:16:31.,{12553},{11778},0
405277091,00007289120166070999,2016-10-2613:25:00.,{12559},{11778},0
405277104,00000028820186070016,2018-02-0914:57:32.,{261},{11778},0
405277108,00001304020166070999,2016-08-1515:10:33.,{1304},{11778},0
405277120,00000103920166070015,2016-02-2300:00:00.,{1298},{11778},0
405277124,00007894920166070999,2016-11-0420:36:06.,{12559},{11778},0
405277134,00000462320166070002,2016-12-1516:29:07.,{261},{11778},0
405277138,06000042320206070021,2020-01-2800:00:00.,{241},{11778},0
405277156,06000169120206070003,2020-04-1320:07:56.,{355},{11778},0
405277163,00007739520166070999,2016-11-0420:30:58.,{12559},{11778},0
405277171,00000161120186070004,2018-05-0312:34:55.,{12559},{11778},0
405277173,00000710520176070001,2016-08-2613:20:39.,{279},{11472,11778},2010
405277176,00001347720166070999,2016-08-1715:37:59.,{12549},{11778},0
405277184,00002508320166070999,2016-09-0616:48:15.,{12549},{11778},0
405277185,00000458220196070018,2019-06-1217:20:47.,{11528},{11778,11475},0
405277191,00001414020176070092,2017-12-2816:44:13.,{12559},{11778},0
405277192,00000453820166070002,2016-11-0315:23:13.,{261},{11778},0
405277200,00006985620166070999,2016-10-2612:55:10.,{12559},{11778},0
405277203,00000028020166070009,2016-03-0314:20:39.,{261},{11778},0
405277205,06000949420216070021,2021-11-1116:49:58.,{12559},{11778},0
405277206,00000182820166070011,2016-07-0514:17:41.,{261},{11778},0
405277209,06000885320216070000,2021-07-1500:00:00.,{12377},{11778},2020
405277229,00000216820166070015,2016-06-1413:34:33.,{12553},{11778},0
405277235,00007557420166070999,2016-11-0420:24:50.,{12559},{11778},0
405277236,06000416020206070050,2020-03-2800:00:00.,{12553},{11778},0
405277238,00007765020166070999,2016-11-0420:32:04.,{12559},{11778},0
405277251,00002626320176070999,2017-07-2421:24:53.,{12559},{11778},0
405277252,00000098420166070005,2016-02-2214:16:07.,{261},{11778},0
405277259,06001401020226000000,2022-03-3100:00:00.,{12553},{11778},0
405277263,00000358520166070004,2016-06-2918:09:29.,{1116},{11778},0
405277270,00001725520176070999,2017-06-0818:22:32.,{12559},{11778},0
405277277,00000235820186070018,2018-05-2914:05:47.,{12554},{11778},0
405277283,06000160220226070010,2022-03-1819:20:33.,{12560},{11778},2022
405277284,06000968220216070015,2021-08-0300:00:00.,{12560},{11778},0
405277288,00000788120186070091,2018-05-1621:56:00.,{12553},{11778},0
405277289,06000356620216070002,2021-01-2715:04:36.,{355},{11778},0
405277291,06000130620206070014,2020-03-2800:00:00.,{261},{11778},0
405277297,06000041120196070004,2019-09-2600:00:00.,{241},{11778},0
405277298,06002236220216070001,2021-11-0415:49:27.,{310},{3641},2014
405277299,06000328020226070001,2022-03-1800:00:00.,{12560},{11778},2022
405277303,06005527220216000000,2021-11-0900:00:00.,{12552},{11778},0
405277309,00001532320186070091,2018-06-0815:32:21.,{12553},{11778},0
405277310,00000218620166070009,2016-05-2315:52:29.,{172},{11778},0
405277312,06000112720206070017,2020-02-2100:00:00.,{241},{11778},0
405277313,06000352720216070015,2021-02-0800:00:00.,{12553},{11778},0
405277316,00000479220176070092,2017-10-0918:02:02.,{12559},{11778},0
405277321,00000390320186070021,2018-07-1718:26:00.,{241},{11778},0
405277322,00000379120176070013,2017-04-2716:28:47.,{12549},{11778},0
405277331,06000153720196070005,2019-10-0800:00:00.,{12554},{11778},0
405277332,06000824020216070002,2021-08-2400:00:00.,{12553},{11778},0
405277335,06000246820206070003,2020-09-2800:00:00.,{12552},{11778},0
405277337,00002089720176070999,2017-07-0718:54:25.,{12559},{11778},0
405277338,06000067720216070014,2021-02-1918:19:22.,{12552},{11778},0
405277339,06000959120216070017,2021-10-0616:13:42.,{12560},{11778},0
405277343,00000225120196070014,2019-03-1419:17:15.,{11528},{11778},0
405277348,06000182820206070014,2020-08-1315:16:43.,{12552},{11778},0
405277351,00002435720176070999,2017-07-1711:26:16.,{12549},{11778},0
405277374,06001143220206070050,2020-06-1600:00:00.,{12553},{11778},0
405277381,00000768820176070013,2017-07-0613:52:56.,{12549},{11778},0
405277383,06000828020206070000,2020-07-0700:00:00.,{12377},{11778},0
405277386,06000563320216070005,2021-08-0416:25:11.,{12560},{11778},0
405277387,06000570620216070009,2021-10-0500:00:00.,{12560},{11778},0
405277388,00000024820196070018,2019-01-1018:03:02.,{12553},{11778},0
405277389,00000825520176070091,2017-08-1617:48:42.,{12559},{11778},0
405277390,00002208520186070091,2018-12-0319:00:14.,{12553},{11778},0
405277393,00001054120176070013,2017-09-1513:24:02.,{12549},{11778},0
405277394,06002513020216070001,2021-12-0315:33:45.,{261},{11778},0
